"ISBN","title","price","quantity"
"0018488498","What the bleep do we know",59.6,0
"0020322305","Forgiving the unforgivable",31.3,0
"0020383142","Old New York",19,0
"0020415133","Wolf rider",10.9,0
"0020415559","Voice and the actor",16.7,0
"0020425759","Tripods #1: When the tripods came",10.9,0
"0020427018","Tripods #3: City of Gold and lead",10.9,0
"0020427115","Tripods #2: White mountains",10.9,0
"0020427212","Tripods #4: Pool of fire",10.9,0
"0020446500","Z for Zachariah",10.9,0
"0021171432","Graduate",25.6,0
"0021175802","Just visiting: Les visiteurs II",36.2,0
"0025473905","Respect for acting",26.6,0
"0026045702","Joy of cooking",56.6,0
"0027701301","Hatchet",0,0
"0028624076","Complete idiot's guide to stepparenting",27.2,0
"0028627717","Betty Crocker's picture cook book",44.1,0
"0028631196","Webster's new world college dictionary",45.4,0
"0028631226","Webster's New World Thesaurus",34.3,0
"0028633873","Complete Idiot's Guide to Learning Yiddish",30.1,0
"0028636376","Complete idiot's guide to overcoming procrastination",21.5,0
"0028637623","Low-fat low cholesterol cooking today",36.8,0
"0028643100","Complete Idiot's Guide to Understanding the Brain",29.6,0
"0028644166","Mob star: the story of John Gotti",27.2,0
"0028658477","Encyclopedia of genocide and crimes against humanity",687.8,0
"0029079403","Rules of sociological method",34.3,0
"0029202922","Search for the real self: Unmasking the Personality Disorders of Our Age",27,0
"0030344743","Macroeconomics",87.7,0
"0030351995","Holt Science & Technology Science Fair Guide (Grade 6)",23.7,0
"0030352045","Holt Science & Technology Assessment Checklists and Rubrics",21.6,0
"0030368774","Elements of Literature, grade 8",121.9,0
"0030368839","Holt Science & Technology Program Teaching Resources Package (Grade 6)",128.3,0
"0030372542","Komm mit! 1 student book",131.4,0
"0030372569","Komm mit! 2 student book",134.3,0
"0030372585","Komm mit! 1 teacher's book",143.9,0
"0030372593","Komm mit! 2 teacher's book",143.9,0
"0030398886","Holt bien dit 1 student book",144.8,0
"003042223X","Holt bien dit 1A teacher's book",171.8,0
"0030422485","World History Differentiated Instruction Teacher Management System Grades 6-8",45.22,0
"0030423325","World History Differentiated Instruction Teacher Management System Grades 6-8 Ancient Civilizations",44.8,0
