Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
00000990000003,Amsterdam,Songs,4.9,52.35,1705,"","",7006952
00000990000004,Venezia,Tutors (instr.),12.57,45.58,1627,"","",7003006
00000990000005,Orvieto,Dances,12.12,42.72,1635,"","",7005124
00000990000006,Firenze,Dances,11.25,43.78,1637,"","",7000457
00000990000007,Roma,Instrumental pieces,12.67,41.97,1652,"","",7003138
00000990000009,Roma,Masses,12.67,41.97,1627,"","",7003138
00000990000010,Orvieto,Cantatas,12.12,42.72,1633,"","",7005124
00000990000011,Orvieto,Sacred songs,12.12,42.72,1634,"","",7005124
00000990000012,Roma,Sacred songs,12.67,41.97,1638,"","",7003138
00000990000013,Roma,Sacred songs,12.67,41.97,1653,"","",7003138
00000990000014,Roma,Antiphonies,12.67,41.97,1677,"","",7003138
00000990000049,Frankfurt am Main,Sonatas,8.68,50.1,1674,"","",7005293
00000990000050,Frankfurt am Main,Sonatas,8.68,50.1,1676,"","",7005293
00000990000051,Frankfurt am Main,Allemandes,8.68,50.1,1677,"","",7005293
00000990000144,London,Songs,-0.17,51.5,1701,"","",7011781
00000990000145,London,Songs,-0.17,51.5,1701,"","",7011781
00000990000146,London,Songs,-0.17,51.5,1703,"","",7011781
00000990000180,Venezia,Galliards,12.57,45.58,1546,"","",7003006
00000990000181,Venezia,Madrigals,12.57,45.58,1548,"","",7003006
00000990000183,Venezia,Fantasies,12.57,45.58,1587,"","",7003006
00000990000219,Venezia,Songs,12.57,45.58,1620,"","",7003006
00000990000220,Venezia,Songs,12.57,45.58,1621,"","",7003006
00000990000221,Venezia,Motets,12.57,45.58,1623,"","",7003006
00000990000222,Bologna,Suites,11.33,44.5,1695,"","",7004847
00000990000223,Bologna,Concertos,11.33,44.5,1708,"","",7004847
00000990000283,Venezia,Motets,12.57,45.58,1615,"","",7003006
00000990000309,Milano,Sacred songs,9.5,45.5,1593,"","",7003150
00000990000310,Milano,Sacred songs,9.5,45.5,1593,"","",7003150
00000990000311,Venezia,Madrigals,12.57,45.58,1568,"","",7003006
00000990000312,Venezia,Madrigals,12.57,45.58,1570,"","",7003006
00000990000313,Venezia,Madrigals,12.57,45.58,1570,"","",7003006
00000990000327,London,Airs (dances),-0.17,51.5,1621,"","",7011781
00000990000328,Rostock,Wedding music,12.15,54.1,1624,"","",7003729
00000990000329,Rostock,Festive music,12.15,54.1,1631,"","",7003729
00000990000331,Roma,Sacred songs,12.67,41.97,1602,"","",7003138
00000990000332,Roma,Sacred songs,12.67,41.97,1605,"","",7003138
00000990000333,Venezia,Sacred songs,12.57,45.58,1608,"","",7003006
00000990000334,Venezia,Sacred songs,12.57,45.58,1616,"","",7003006
00000990000335,Roma,Sacred songs,12.67,41.97,1603,"","",7003138
00000990000336,Venezia,Sacred songs,12.57,45.58,1608,"","",7003006
00000990000337,Venezia,Sacred songs,12.57,45.58,1615,"","",7003006
00000990000338,Roma,Sacred songs,12.67,41.97,1603,"","",7003138
00000990000339,Venezia,Sacred songs,12.57,45.58,1608,"","",7003006
00000990000340,Venezia,Sacred songs,12.57,45.58,1616,"","",7003006
00000990000341,Roma,Sacred songs,12.67,41.97,1606,"","",7003138
00000990000342,Venezia,Sacred songs,12.57,45.58,1606,"","",7003006
00000990000343,Milano,Sacred songs,9.5,45.5,1606,"","",7003150
00000990000344,Venezia,Sacred songs,12.57,45.58,1608,"","",7003006
00000990000345,Venezia,Sacred songs,12.57,45.58,1609,"","",7003006
00000990000346,Venezia,Sacred songs,12.57,45.58,1612,"","",7003006
00000990000347,Venezia,Sacred songs,12.57,45.58,1614,"","",7003006
00000990000348,Roma,Sacred songs,12.67,41.97,1614,"","",7003138
00000990000349,Roma,Sacred songs,12.67,41.97,1618,"","",7003138
00000990000350,Roma,Sacred songs,12.67,41.97,1620,"","",7003138
00000990000351,Venezia,Sacred songs,12.57,45.58,1620,"","",7003006
00000990000352,Roma,Sacred songs,12.67,41.97,1633,"","",7003138
00000990000353,Milano,Sacred songs,9.5,45.5,1607,"","",7003150
00000990000355,Venezia,Sacred songs,12.57,45.58,1609,"","",7003006
00000990000356,Venezia,Sacred songs,12.57,45.58,1613,"","",7003006
00000990000357,Frankfurt am Main,Motets,8.68,50.1,1607,"","",7005293
00000990000358,Venezia,Psalms,12.57,45.58,1609,"","",7003006
00000990000359,Venezia,Psalms,12.57,45.58,1613,"","",7003006
00000990000360,Venezia,Psalms,12.57,45.58,1618,"","",7003006
00000990000361,Venezia,Psalms,12.57,45.58,1620,"","",7003006
00000990000362,Venezia,Psalms,12.57,45.58,1611,"","",7003006
00000990000363,Venezia,Psalms,12.57,45.58,1615,"","",7003006
00000990000364,Venezia,Sacred songs,12.57,45.58,1611,"","",7003006
00000990000365,Venezia,Sacred songs,12.57,45.58,1612,"","",7003006
00000990000366,Venezia,Sacred songs,12.57,45.58,1614,"","",7003006
00000990000367,Venezia,Psalms,12.57,45.58,1611,"","",7003006
00000990000368,Venezia,Psalms,12.57,45.58,1615,"","",7003006
00000990000369,Venezia,Dialogues,12.57,45.58,1613,"","",7003006
00000990000370,Venezia,Dialogues,12.57,45.58,1616,"","",7003006
00000990000371,Venezia,Dialogues,12.57,45.58,1617,"","",7003006
00000990000372,Venezia,Dialogues,12.57,45.58,1618,"","",7003006
00000990000373,Venezia,Masses,12.57,45.58,1614,"","",7003006
00000990000374,Venezia,Masses,12.57,45.58,1617,"","",7003006
00000990000375,Venezia,Masses,12.57,45.58,1625,"","",7003006
00000990000376,Venezia,Sacred songs,12.57,45.58,1615,"","",7003006
00000990000377,Venezia,Madrigals,12.57,45.58,1620,"","",7003006
00000990000378,Roma,Sacred songs,12.67,41.97,1625,"","",7003138
00000990000379,Roma,Litanies,12.67,41.97,1639,"","",7003138
00000990000380,Roma,Sacred songs,12.67,41.97,1640,"","",7003138
00000990000381,Venezia,Madrigals,12.57,45.58,1596,"","",7003006
00000990000382,Antwerpen,Madrigals,4.42,51.22,1600,"","",7007856
00000990000383,Venezia,Madrigals,12.57,45.58,1600,"","",7003006
00000990000384,Antwerpen,Madrigals,4.42,51.22,1602,"","",7007856
00000990000385,Venezia,Madrigals,12.57,45.58,1608,"","",7003006
00000990000386,Frankfurt am Main,Madrigals,8.68,50.1,1608,"","",7005293
00000990000387,Venezia,Madrigals,12.57,45.58,1606,"","",7003006
00000990000388,Venezia,Madrigals,12.57,45.58,1613,"","",7003006
00000990000389,Venezia,Pastoral plays,12.57,45.58,1606,"","",7003006
00000990000390,Venezia,Madrigals,12.57,45.58,1607,"","",7003006
00000990000391,Venezia,Madrigals,12.57,45.58,1615,"","",7003006
00000990000392,Venezia,Madrigals,12.57,45.58,1607,"","",7003006
00000990000396,Venezia,Sacred songs,12.57,45.58,1599,"","",7003006
00000990000397,Venezia,Motets,12.57,45.58,1621,"","",7003006
00000990000398,Orvieto,Sacred songs,12.12,42.72,1625,"","",7005124
00000990000399,Venezia,Sacred songs,12.57,45.58,1673,"","",7003006
00000990000400,Venezia,Psalms,12.57,45.58,1637,"","",7003006
00000990000401,Venezia,Motets,12.57,45.58,1638,"","",7003006
00000990000402,Milano,Partsongs,9.5,45.5,1567,"","",7003150
00000990000403,Venezia,Madrigals,12.57,45.58,1570,"","",7003006
00000990000404,Venezia,Ballettos (voc.),12.57,45.58,1571,"","",7003006
00000990000405,Venezia,Madrigals,12.57,45.58,1572,"","",7003006
00000990000406,Venezia,Canons (voc.),12.57,45.58,1572,"","",7003006
00000990000407,Venezia,Canzoni (voc.),12.57,45.58,1574,"","",7003006
00000990000408,Venezia,Partsongs,12.57,45.58,1581,"","",7003006
00000990000409,Ferrara,Madrigals,11.83,44.8,1582,"","",7003128
00000990000410,Ferrara,Madrigals,11.83,44.8,1583,"","",7003128
00000990000411,Venezia,Partsongs,12.57,45.58,1586,"","",7003006
00000990000412,Roma,Psalms,12.67,41.97,1619,"","",7003138
00000990000414,Roma,Masses,12.67,41.97,1627,"","",7003138
00000990000415,Roma,Masses,12.67,41.97,1627,"","",7003138
00000990000416,Roma,Masses,12.67,41.97,1627,"","",7003138
00000990000417,Roma,Masses,12.67,41.97,1627,"","",7003138
00000990000418,Roma,Masses,12.67,41.97,1627,"","",7003138
00000990000419,Roma,Masses,12.67,41.97,1627,"","",7003138
00000990000420,Roma,Masses,12.67,41.97,1630,"","",7003138
00000990000431,Napoli,Madrigals,14.42,40.88,1617,"","",7003013
00000990000432,Venezia,"Masses (cantus firmus-, paraphrase-, parody masses)",12.57,45.58,1504,"","",7003006
00000990000433,Nürnberg,Motets,11.07,49.45,1601,"","",7004334
00000990000439,Wittenberg,Motets,12.65,51.88,1557,"","",7012349
00000990000440,Magdeburg,Motets,11.62,52.13,1567,"","",7004456
00000990000441,Magdeburg,Motets,11.62,52.13,1575,"","",7004456
00000990000443,Würzburg,"Masses (cantus firmus-, paraphrase-, parody masses)",9.93,49.8,1647,"","",7004335
00000990000444,Neustadt,Sacred songs,8.78,53.07,1664,"","",1005183
00000990000445,Neustadt,Sacred songs,8.78,53.07,1719,"","",1005183
00000990000446,Würzburg,Sacred songs,9.93,49.8,1711,"","",7004335
00000990000447,Würzburg,Sacred songs,9.93,49.8,1718,"","",7004335
00000990000451,Zaragoza,Canticles,-1,41.58,1618,"","",7002845
00000990000471,Mühlhausen,Funeral music,7.73,51.55,1673,"","",1040197
00000990000472,Mühlhausen,Instrumental pieces,7.73,51.55,1676,"","",1040197
00000990000473,Mühlhausen,Instrumental pieces,7.73,51.55,1677,"","",1040197
00000990000474,Mühlhausen,Instrumental pieces,7.73,51.55,1677,"","",1040197
00000990000475,Mühlhausen,Instrumental pieces,7.73,51.55,1678,"","",1040197
00000990000476,Mühlhausen,Sacred songs,7.73,51.55,1678,"","",1040197
00000990000477,Mühlhausen,Lieder,7.73,51.55,1681,"","",1040197
00000990000478,Mühlhausen,Sacred songs,7.73,51.55,1679,"","",1040197
00000990000479,Mühlhausen,Sacred songs,7.73,51.55,1681,"","",1040197
